Nome_Jogador,Posicao,Data,Minutos_Jogados,Distancia_Percorrida_(km),Num_Sprints,VO2_Max_Estimado,FC_Media_(bpm),Lesao_Ocorreu,Tipo_Lesao,Tempo_Ausencia,Fonte
Marcos,Goleiro,2002-03-04,45.0,7.46,20,51.85,152,False,,0,Dados_de_Jogos
Marcos,Goleiro,2002-03-17,90.0,8.24,14,54.68,162,False,,0,Dados_de_Jogos
Marcos,Goleiro,2002-03-24,90.0,8.74,18,47.53,134,False,,0,Dados_de_Jogos
Marcos,Goleiro,2002-04-07,90.0,6.56,23,50.47,141,False,,0,Dados_de_Jogos
Marcos,Goleiro,2002-04-12,0.0,8.98,17,53.08,150,False,,0,Dados_de_Jogos
Marcos,Goleiro,2002-05-04,0.0,7.77,21,47.77,144,False,,0,Dados_de_Jogos
Marcos,Goleiro,2002-05-27,90.0,8.24,22,49.4,156,False,,0,Dados_de_Jogos
Marcos,Goleiro,2002-06-04,0.0,10.18,7,51.52,138,False,,0,Dados_de_Jogos
Marcos,Goleiro,2002-06-10,0.0,8.68,17,53.72,141,False,,0,Dados_de_Jogos
Marcos,Goleiro,2002-06-26,90.0,5.99,12,48.24,153,False,,0,Dados_de_Jogos
Cafu,Lateral-direito,2002-03-14,90.0,9.6,28,54.09,152,False,,0,Dados_de_Jogos
Cafu,Lateral-direito,2002-04-18,90.0,9.1,24,53.43,156,False,,0,Dados_de_Jogos
Cafu,Lateral-direito,2002-05-24,90.0,9.0,24,51.07,154,False,,0,Dados_de_Jogos
Cafu,Lateral-direito,2002-06-09,0.0,9.83,28,54.48,152,False,,0,Dados_de_Jogos
Lúcio,Zagueiro,2002-04-04,90.0,6.17,21,48.99,146,False,,0,Dados_de_Jogos
Lúcio,Zagueiro,2002-04-10,0.0,9.18,17,52.71,162,False,,0,Dados_de_Jogos
Lúcio,Zagueiro,2002-04-12,45.0,10.38,14,56.24,156,False,,0,Dados_de_Jogos
Lúcio,Zagueiro,2002-05-06,45.0,7.77,19,56.68,152,False,,0,Dados_de_Jogos
Lúcio,Zagueiro,2002-05-23,90.0,8.19,29,45.45,160,False,,0,Dados_de_Jogos
Roque Júnior,Zagueiro,2002-03-29,90.0,6.51,16,44.68,160,False,,0,Dados_de_Jogos
Roque Júnior,Zagueiro,2002-04-01,90.0,6.09,15,54.78,137,False,,0,Dados_de_Jogos
Roque Júnior,Zagueiro,2002-05-04,45.0,5.53,13,47.98,143,False,,0,Dados_de_Jogos
Roque Júnior,Zagueiro,2002-06-02,45.0,10.37,13,49.82,158,False,,0,Dados_de_Jogos
Roque Júnior,Zagueiro,2002-06-18,0.0,8.77,18,52.62,153,False,,0,Dados_de_Jogos
Roque Júnior,Zagueiro,2002-06-26,90.0,8.15,13,50.0,145,False,,0,Dados_de_Jogos
Edmilson,Volante,2002-03-11,90.0,10.34,26,61.84,167,False,,0,Dados_de_Jogos
Edmilson,Volante,2002-03-19,90.0,10.57,21,55.21,169,False,,0,Dados_de_Jogos
Edmilson,Volante,2002-03-21,90.0,13.83,25,51.76,162,False,,0,Dados_de_Jogos
Edmilson,Volante,2002-03-30,90.0,10.19,15,52.88,163,False,,0,Dados_de_Jogos
Edmilson,Volante,2002-04-19,90.0,0.0,25,60.65,151,False,,0,Dados_de_Jogos
Edmilson,Volante,2002-04-26,45.0,10.57,24,30.0,171,False,,0,Dados_de_Jogos
Edmilson,Volante,2002-05-12,0.0,0.0,12,57.65,162,False,,0,Dados_de_Jogos
Edmilson,Volante,2002-06-02,0.0,10.7,24,56.05,169,False,,0,Dados_de_Jogos
Edmilson,Volante,2002-06-07,90.0,11.2,24,53.68,152,False,,0,Dados_de_Jogos
Edmilson,Volante,2002-06-14,90.0,9.17,33,53.51,162,False,,0,Dados_de_Jogos
Edmilson,Volante,2002-06-24,0.0,8.68,26,59.96,167,False,,0,Dados_de_Jogos
